clasificador,n_estimators,max_depth,max_features,bootstrap,weight_color,f1_score
RF,50,20.0,log2,True,0.5,0.6673470300894583
RF,50,20.0,log2,True,0.6,0.6681584415296596
RF,50,20.0,log2,True,0.7,0.663107152581916
RF,50,20.0,log2,True,0.8,0.6477506090705006
RF,50,20.0,log2,False,0.2,0.6797733509928807
RF,50,20.0,log2,False,0.3,0.6788182221962247
RF,50,20.0,log2,False,0.4,0.682887387953889
RF,50,20.0,log2,False,0.5,0.679731911147593
RF,50,20.0,log2,False,0.6,0.6755476172666791
RF,50,20.0,log2,False,0.7,0.6681996006780304
RF,50,20.0,log2,False,0.8,0.6556352340562867
RF,50,20.0,0.5,True,0.2,0.6658768890238933
RF,50,20.0,0.5,True,0.3,0.670966667120053
RF,50,20.0,0.5,True,0.4,0.6749551322357024
RF,50,20.0,0.5,True,0.5,0.6726257099381385
RF,50,20.0,0.5,True,0.6,0.6699534786468624
RF,50,20.0,0.5,True,0.7,0.6622255624711071
RF,50,20.0,0.5,True,0.8,0.6505504237190338
RF,50,20.0,0.5,False,0.2,0.6845343003893045
RF,50,20.0,0.5,False,0.3,0.6850592018614238
RF,50,20.0,0.5,False,0.4,0.6866340424948177
RF,50,20.0,0.5,False,0.5,0.6939476335500878
RF,50,20.0,0.5,False,0.6,0.6839993896785888
RF,50,20.0,0.5,False,0.7,0.6753263585080126
RF,50,20.0,0.5,False,0.8,0.6613654700580678
RF,50,30.0,sqrt,True,0.2,0.6649821682381194
RF,50,30.0,sqrt,True,0.3,0.6685314638194678
RF,50,30.0,sqrt,True,0.4,0.6732088782835322
RF,50,30.0,sqrt,True,0.5,0.6698470163077669
RF,50,30.0,sqrt,True,0.6,0.6643457563792386
RF,50,30.0,sqrt,True,0.7,0.660658069834903
RF,50,30.0,sqrt,True,0.8,0.6465583818914495
RF,50,30.0,sqrt,False,0.2,0.686634978090271
RF,50,30.0,sqrt,False,0.3,0.6956065099956588
RF,50,30.0,sqrt,False,0.4,0.6939205196190372
RF,50,30.0,sqrt,False,0.5,0.6869845566051485
RF,50,30.0,sqrt,False,0.6,0.6871712765704778
RF,50,30.0,sqrt,False,0.7,0.6760337231218598
RF,50,30.0,sqrt,False,0.8,0.6635518366571338
RF,50,30.0,log2,True,0.2,0.6795535224094269
RF,50,30.0,log2,True,0.3,0.6787146474896606
RF,50,30.0,log2,True,0.4,0.676596442090404
RF,50,30.0,log2,True,0.5,0.6731849230494651
RF,50,30.0,log2,True,0.6,0.6659747064230338
RF,50,30.0,log2,True,0.7,0.6581620929657117
RF,50,30.0,log2,True,0.8,0.6394507862361671
RF,50,30.0,log2,False,0.2,0.6823848521223975
RF,50,30.0,log2,False,0.3,0.6852574004602985
RF,50,30.0,log2,False,0.4,0.6811006550832726
RF,50,30.0,log2,False,0.5,0.6747401419302201
RF,50,30.0,log2,False,0.6,0.6700668203930624
RF,50,30.0,log2,False,0.7,0.6636000045655761
RF,50,30.0,log2,False,0.8,0.6459251522996944
RF,50,30.0,0.5,True,0.2,0.6727710436645167
RF,50,30.0,0.5,True,0.3,0.6752950221750271
RF,50,30.0,0.5,True,0.4,0.6824289623161404
RF,50,30.0,0.5,True,0.5,0.6815391522597194
RF,50,30.0,0.5,True,0.6,0.6763870011210105
RF,50,30.0,0.5,True,0.7,0.6678342281012073
RF,50,30.0,0.5,True,0.8,0.6525619094761865
RF,50,30.0,0.5,False,0.2,0.6760128557310698
RF,50,30.0,0.5,False,0.3,0.6852904632628569
RF,50,30.0,0.5,False,0.4,0.6915474314746859
RF,50,30.0,0.5,False,0.5,0.6934155611567785
RF,50,30.0,0.5,False,0.6,0.6845048052943491
RF,50,30.0,0.5,False,0.7,0.6755848644885328
RF,50,30.0,0.5,False,0.8,0.6608601250552255
RF,100,,sqrt,True,0.2,0.6757690334886258
RF,100,,sqrt,True,0.3,0.6782957560818464
RF,100,,sqrt,True,0.4,0.6796119083709351
RF,100,,sqrt,True,0.5,0.6778005460957972
RF,100,,sqrt,True,0.6,0.6741371046727497
RF,100,,sqrt,True,0.7,0.6648458114351825
RF,100,,sqrt,True,0.8,0.6494387853006691
RF,100,,sqrt,False,0.2,0.689130197491018
RF,100,,sqrt,False,0.3,0.691704431038939
RF,100,,sqrt,False,0.4,0.6953279872246094
RF,100,,sqrt,False,0.5,0.6894624652095934
RF,100,,sqrt,False,0.6,0.6889625890244313
RF,100,,sqrt,False,0.7,0.6854788949188036
RF,100,,sqrt,False,0.8,0.6726184227973453
RF,100,,log2,True,0.2,0.6725276555418175
RF,100,,log2,True,0.3,0.6749833522921953
RF,100,,log2,True,0.4,0.6770027501084492
RF,100,,log2,True,0.5,0.6781187636520971
RF,100,,log2,True,0.6,0.6777594679762559
